,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
9530,Digital,OverDrive,AUDIOBOOK,2018,1,3,On Writing Well Audio Collection: On Writing Well and How to Write a Memoir (abridged) (Abridged),,William Zinsser,"Nonfiction, Self-Improvement",HarperCollins Publishers Inc.,2005
9553,Digital,OverDrive,AUDIOBOOK,2018,1,6,"Mental: Lithium, Love, and Losing My Mind (unabridged) (Unabridged)",,Jaime Lowe,"Biography & Autobiography, History, Nonfiction, Psychology",Books on Tape,2017
9561,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Capacity for Murder: Professor Bradshaw Mystery Series, Book 3 (unabridged) (Unabridged)",,Bernadette Pajer,"Fiction, Mystery","Blackstone Audio, Inc.",2013
9580,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Bamboo and Blood: Inspector O Series, Book 3 (unabridged) (Unabridged)",,James Church,"Fiction, Mystery","Blackstone Audio, Inc.",2011
9596,Digital,OverDrive,AUDIOBOOK,2018,1,7,"Desperately Seeking A Duke: Heiress Brides Series, Book 1 (unabridged) (Unabridged)",,Celeste Bradley,"Erotic Literature, Fiction, Romance","Tantor Media, Inc",2014
9598,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Dancing Shoes: Shoes Series, Book 9 (unabridged) (Unabridged)",,Noel Streatfeild,"Juvenile Fiction, Juvenile Literature",Books on Tape,2007
9599,Digital,OverDrive,AUDIOBOOK,2018,1,5,Nocturnes: Five Stories of Music and Nightfall (unabridged) (Unabridged),,Kazuo Ishiguro,"Fiction, Literature",Books on Tape,2009
9605,Digital,OverDrive,AUDIOBOOK,2018,1,2,Fancy Nancy and the Fall Foliage (Unabridged),,Jane O'Connor,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2014
9611,Digital,OverDrive,AUDIOBOOK,2018,1,3,Divided by Faith: Evangelical Religion and the Problem of Race in America (unabridged) (Unabridged),,Michael O. Emerson,"Nonfiction, Religion & Spirituality","Tantor Media, Inc",2017
9637,Digital,OverDrive,AUDIOBOOK,2018,1,1,Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II (unabridged) (Unabridged),,Robert Kurson,"History, Military, Nonfiction",Books on Tape,2006
9639,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Lady of the Rivers: Cousins' War Series, Book 3 (unabridged) (Unabridged)",,Philippa Gregory,"Fiction, Historical Fiction","Recorded Books, LLC",2015
9647,Digital,OverDrive,AUDIOBOOK,2018,1,1,"A Catskill Eagle: Spenser Series, Book 12 (unabridged) (Unabridged)",,Robert B. Parker,"Fiction, Mystery",Books on Tape,2009
9648,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Ultimate Showdown: Middle School Series, Book 5 (unabridged) (Unabridged)",,James Patterson,"Humor (Fiction), Juvenile Fiction","Blackstone Audio, Inc.",2014
9661,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Purple Diaries: Mary Astor and the Most Sensational Hollywood Scandal of the 1930s (unabridged) (Unabridged),,Joseph Egan,"Biography & Autobiography, History, Nonfiction, Performing Arts","Blackstone Audio, Inc.",2017
9668,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Black Ice: Young Sherlock Holmes Series, Book 3 (unabridged) (Unabridged)",,Andrew Lane,"Historical Fiction, Mystery, Young Adult Fiction, Young Adult Literature",Macmillan Audio,2013
9683,Digital,OverDrive,AUDIOBOOK,2018,1,6,"Dream Hoarders: How the American Upper Middle Class Is Leaving Everyone Else in the Dust, Why That Is a Problem, and What to Do about It (unabridged) (Unabridged)",,Richard V. Reeves,"Business, Nonfiction, Sociology","Blackstone Audio, Inc.",2017
9705,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Silentium: Halo: Forerunner Saga, Book 3 (unabridged) (Unabridged)",,Greg Bear,"Fiction, Literature, Science Fiction",Macmillan Audio,2013
9721,Digital,OverDrive,AUDIOBOOK,2018,1,1,Reawakened (Unabridged),,Colleen Houck,"Historical Fiction, Mythology, Romance, Young Adult Fiction",Books on Tape,2015
9722,Digital,OverDrive,AUDIOBOOK,2018,1,1,Rapunzel and Other Classics of Childhood: Classics Read by Celebrities (unabridged) (Unabridged),,Various Authors,"Juvenile Fiction, Juvenile Literature","Blackstone Audio, Inc.",2010
9726,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Bloodlines: Vampire Academy: Bloodlines Series, Book 1 (unabridged) (Unabridged)",,Richelle Mead,"Fantasy, Young Adult Fiction",Books on Tape,2011
9776,Digital,OverDrive,AUDIOBOOK,2018,1,7,Evolve Your Brain: The Science of Changing Your Mind (unabridged) (Unabridged),,Joe Dispenza,"Nonfiction, Psychology, Self-Improvement","Tantor Media, Inc",2017
9779,Digital,OverDrive,AUDIOBOOK,2018,1,2,Brother Ray: Ray Charles' Own Story (unabridged) (Unabridged),,Ray Charles,"African American Nonfiction, Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2005
9786,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Pebble in the Sky: Empire Series, Book 1 (unabridged) (Unabridged)",,Isaac Asimov,"Fiction, Science Fiction","Blackstone Audio, Inc.",2009
9792,Digital,OverDrive,AUDIOBOOK,2018,1,1,My Mommy Hung the Moon (Unabridged),,Jamie Lee Curtis,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2015
9798,Digital,OverDrive,AUDIOBOOK,2018,1,7,"Cibola Burn: The Expanse Series, Book 4 (unabridged) (Unabridged)",,James S. A. Corey,"Fiction, Science Fiction","Blackstone Audio, Inc.",2014
9799,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Best of Second City, Volume 1 (Unabridged)",,Second City: Chicago's Famed Improv Theatre,"Drama, Fiction, Humor (Fiction)",L.A. Theatre Works,2010
9811,Digital,OverDrive,AUDIOBOOK,2018,1,3,You Belong to Me: A Novel (unabridged) (Unabridged),,Colin Harrison,"Fiction, Mystery, Thriller",Macmillan Audio,2017
9815,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Lost in Shangri-La: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II (unabridged) (Unabridged)",,Mitchell Zuckoff,"History, Military, Nonfiction",Books on Tape,2011
9822,Digital,OverDrive,AUDIOBOOK,2018,1,1,Classic Tales of Horror (Unabridged),,Bram Stoker,"Fiction, Horror, Short Stories",CSA Word,2008
9826,Digital,OverDrive,AUDIOBOOK,2018,1,4,City of Illusions (Unabridged),,Ursula K. Le Guin,"Fiction, Science Fiction","Blackstone Audio, Inc.",2010
9838,Digital,OverDrive,AUDIOBOOK,2018,1,1,Foreskin's Lament (Unabridged),,Shalom Auslander,"Biography & Autobiography, Judaica, Nonfiction",Books on Tape,2008
9840,Digital,OverDrive,AUDIOBOOK,2018,1,8,"Red Sky at Noon: Moscow Trilogy, Book 3 (unabridged) (Unabridged)",,Simon Sebag Montefiore,"Fiction, Historical Fiction","Blackstone Audio, Inc.",2018
9846,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Hero's Guide to Being an Outlaw: The Hero's Guide Series, Book 3 (unabridged) (Unabridged)",,Christopher Healy,"Fantasy, Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2014
9847,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Dog Who Came in From the Cold: Corduroy Mansions Series, Book 2 (unabridged) (Unabridged)",,Alexander McCall Smith,"Fiction, Literature","Recorded Books, LLC",2016
9851,Digital,OverDrive,AUDIOBOOK,2018,1,1,All Summer Long: A Novel (unabridged) (Unabridged),,Dorothea Benton Frank,"Fiction, Literature",HarperCollins Publishers Inc.,2016
9870,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Stone Warriors: Tombquest Series, Book 4 (unabridged) (Unabridged)",,Michael Northrop,"Juvenile Fiction, Thriller",Scholastic Inc. Audiobooks,2016
9874,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Front and Center: Dairy Queen Series, Book 3 (unabridged) (Unabridged)",,Catherine Gilbert Murdock,"Young Adult Fiction, Young Adult Literature",Books on Tape,2010
9904,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Murder by the Book: Nero Wolfe Series, Book 19 (unabridged) (Unabridged)",,Rex Stout,"Fiction, Mystery",Books on Tape,2012
9914,Digital,OverDrive,AUDIOBOOK,2018,1,1,"When You Give a Duke a Diamond: Jewels of the Ton Series, Book 1 (unabridged) (Unabridged)",,Shana Galen,"Fiction, Literature","Tantor Media, Inc",2014
9929,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Garden of Lamentations: A Novel (unabridged) (Unabridged),,Deborah Crombie,"Fiction, Mystery",HarperCollins Publishers Inc.,2017
9938,Digital,OverDrive,AUDIOBOOK,2018,1,7,Legacy of Ashes: The History of the CIA (unabridged) (Unabridged),,Tim Weiner,"History, Nonfiction","Blackstone Audio, Inc.",2007
9939,Digital,OverDrive,AUDIOBOOK,2018,1,15,Cutting For Stone: A Novel (unabridged) (Unabridged),,Abraham Verghese,"Fiction, Literature",Books on Tape,2009
9960,Digital,OverDrive,AUDIOBOOK,2018,1,3,Diana: Her True Story in Her Own Words (unabridged) (Unabridged),,Andrew Morton,"Biography & Autobiography, Nonfiction",Simon & Schuster - All Library,2017
9963,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Forever: The Wolves of Mercy Falls Trilogy, Book 3 (unabridged) (Unabridged)",,Maggie Stiefvater,"Fantasy, Romance, Young Adult Fiction",Scholastic Inc. Audiobooks,2011
9965,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Hidden Brain: How Our Unconscious Minds Elect Presidents, Control Markets, Wage Wars, and Save Our Lives (unabridged) (Unabridged)",,Shankar Vedantam,"Nonfiction, Sociology",Books on Tape,2010
