,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
870,Digital,Freegal,SONG,2018,1,1,"Sing, Sing, Sing",,Benny Goodman and His Orchestra,,,
871,Digital,Freegal,SONG,2018,1,1,Texas Traveling Song,,Bill Neely,,,
872,Digital,OverDrive,EBOOK,2018,1,1,"A Heart's Rebellion--A Regency Romance: London Encounters Series, Book 2",,Ruth Axtell,"Fiction, Historical Fiction, Romance",Baker Publishing Group,2014
874,Digital,OverDrive,EBOOK,2018,1,1,So Far from God: A Novel,,Ana Castillo,"Fantasy, Fiction, Literature",W. W. Norton & Company,2016
885,Digital,OverDrive,EBOOK,2018,1,1,"Mrs. Jeffries Plays the Cook: Mrs. Jeffries and Inspector Witherspoon Series, Book 7",,Emily Brightwell,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
890,Digital,Hoopla,MOVIE,2018,1,1,Untold Stories of WWII,,,"History, War, World War II",National Geographic,
892,Digital,Hoopla,TELEVISION,2018,1,6,Level 2,,,Health & Fitness,Gaiam Americas,
896,Digital,OverDrive,EBOOK,2018,1,1,"A Cheese-Colored Camper: Geronimo Stilton Series, Book 16",,Geronimo Stilton,"Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2015
897,Digital,OverDrive,EBOOK,2018,1,1,The Rough Guide to South India,,David Abram,"Nonfiction, Travel",DK Publishing & Rough Guides,2011
898,Digital,Freegal,SONG,2018,1,1,We've Got the Night,,Bananarama,,,
900,Digital,OverDrive,EBOOK,2018,1,2,"Attack of the Nindroids: LEGO Ninjago Reader Series, Book 8",,Kate Howard,"Comic and Graphic Books, Fantasy, Juvenile Fiction","Scholastic, Inc. (US)",2016
901,Digital,OverDrive,AUDIOBOOK,2018,1,2,A Line in the Dark (Unabridged),,Malinda Lo,"Mystery, Young Adult Fiction, Young Adult Literature",Books on Tape,2017
902,Digital,OverDrive,EBOOK,2018,1,1,The Filter Bubble: What the Internet Is Hiding From You,,Eli Pariser,"Nonfiction, Technology","Penguin Group (USA), Inc.",2011
904,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Nine: Inside the Secret World of the Supreme Court (unabridged) (Unabridged),,Jeffrey Toobin,"Law, Nonfiction, Politics",Books on Tape,2007
906,Digital,Freegal,SONG,2018,1,1,Section 43,,Country Joe & The Fish,,,
907,Digital,OverDrive,EBOOK,2018,1,1,"Past Lives, Present Miracles",,Denise Linn,"New Age, Nonfiction","Hay House, Inc.",2013
912,Digital,OverDrive,EBOOK,2018,1,10,Zealot: The Life and Times of Jesus of Nazareth,,Reza Aslan,"Biography & Autobiography, Nonfiction, Politics, Religion & Spirituality","Random House, Inc.",2013
919,Digital,OverDrive,EBOOK,2018,1,1,"Carol Doak's Creative Combinations: Stunning Blocks & Borders from a Single Unit, 32 Paper-Pieced Units, 8 Quilt Projects",,Carol Doak,"Crafts, Nonfiction",National Book Network (NBN),2013
921,Digital,OverDrive,AUDIOBOOK,2018,1,2,One Enchanted Evening (Unabridged),,Lynn Kurland,"Fiction, Historical Fiction, Romance",Books on Tape,2014
924,Digital,Freegal,SONG,2018,1,1,"Aria di Camera, Being Choice Collection of Irish, Scottish & Welsh Airs - ""Maggot""",,Nancy Hadden,,,
929,Digital,OverDrive,EBOOK,2018,1,3,"The Best-Ever Wheat-and Gluten-Free Baking Book: Over 200 Recipes for Muffins, Cookies, Breads, and More",,Mary Ann Wenniger,"Cooking & Food, Nonfiction",Quarto Publishing Group USA,2010
930,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Suitors (Unabridged),,Cecile David-Weill,"Fiction, Literature","Blackstone Audio, Inc.",2013
935,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Early to Death, Early to Rise: Madison Avery Series, Book 2 (unabridged) (Unabridged)",,Kim Harrison,"Fantasy, Young Adult Fiction",HarperCollins Publishers Inc.,2010
940,Digital,Freegal,SONG,2018,1,1,Afrodisia,,Kenny Dorham,,,
944,Digital,Freegal,SONG,2018,1,1,Turandot: Popolo di Pekino!,,Erich Leinsdorf,,,
947,Digital,Hoopla,MOVIE,2018,1,1,The Carol Burnett Show: This Time Together,,,"Classics, Comedy, Comedy, Sketch Comedy, Television To Silver Screen",Time/Life Star Vista,
948,Digital,Freegal,SONG,2018,1,1,Go Tell Somebody,,Commissioned,,,
949,Digital,OverDrive,EBOOK,2018,1,2,Being a Dog: Following the Dog Into a World of Smell,,Alexandra Horowitz,"Nonfiction, Pets, Psychology, Science","Simon & Schuster, Inc.",2016
951,Digital,OverDrive,EBOOK,2018,1,1,"Beyond the Deepwoods: The Edge Chronicles: The Twig Trilogy, Book 1",,Paul Stewart,"Fantasy, Juvenile Fiction","Random House, Inc.",2011
952,Digital,OverDrive,EBOOK,2018,1,1,Kiss Kill Vanish,,Jessica Martinez,"Romance, Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2015
953,Digital,Hoopla,COMIC,2018,1,5,Silver Surfer Vol. 1: New Dawn,,,"Action & Adventure, Media Tie-In, Sci-Fi, Superhero, Teen",Marvel Entertainment,
954,Digital,OverDrive,EBOOK,2018,1,71,Beartown: A Novel,,Fredrik Backman,"Fiction, Literature","Simon & Schuster, Inc.",2017
956,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Raymond Chandler, The BBC Radio Drama Collection: 8 BBC Radio 4 full-cast dramatisations (unabridged) (Unabridged)",,Raymond Chandler,"Fiction, Mystery",Random House Group Limited,2016
957,Digital,OverDrive,EBOOK,2018,1,6,Traveling Mercies: Some Thoughts on Faith,,Anne Lamott,"Biography & Autobiography, New Age, Nonfiction, Religion & Spirituality","Random House, Inc.",2011
958,Digital,OverDrive,EBOOK,2018,1,2,"Christmas in Snowflake Canyon: Hope's Crossing Series, Book 6",,RaeAnne  Thayne,"Fiction, Romance","Harlequin Enterprises, Ltd.",2013
961,Digital,OverDrive,EBOOK,2018,1,38,No Man's Land,,David Baldacci,"Fiction, Mystery, Suspense, Thriller","Hachette Digital, Inc.",2016
963,Digital,OverDrive,EBOOK,2018,1,5,North and South,,Elizabeth Gaskell,"Classic Literature, Fiction",Duke Classics,2012
964,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Dirty for Me: Motor City Royals Series, Book 1 (unabridged) (Unabridged)",,Jackie Ashenden,"Erotic Literature, Fiction, Romance",Insatiable Press,2017
966,Digital,OverDrive,EBOOK,2018,1,2,"The Face on the Milk Carton: Janie Johnson Series, Book 1",,Caroline B. Cooney,"Mystery, Suspense, Thriller, Young Adult Fiction","Random House, Inc.",2009
967,Digital,OverDrive,EBOOK,2018,1,1,Vertical Vegetables and Fruit,,Rhonda Massingham Hart,"Gardening, Nonfiction",Workman Publishing,2012
969,Digital,OverDrive,EBOOK,2018,1,1,"The Cat Who Knew a Cardinal: The Cat Who Series, Book 12",,Lilian Jackson Braun,"Fiction, Mystery","Penguin Group (USA), Inc.",2011
971,Digital,Freegal,SONG,2018,1,1,Speak to Me,,Pink Floyd,,,
972,Digital,OverDrive,EBOOK,2018,1,3,"Kitchen Creativity: Unlocking Culinary Geniuswith Wisdom, Inspiration, and Ideas from the World's Most Creative Chefs",,Karen Page,"Cooking & Food, Nonfiction, Reference","Hachette Digital, Inc.",2017
975,Digital,OverDrive,EBOOK,2018,1,2,"What I Wore: Four Seasons, One Closet, Endless Recipes for Personal Style",,Jessica Quirk,"Art, Nonfiction, Self-Improvement, Sociology","Random House, Inc.",2012
976,Digital,OverDrive,EBOOK,2018,1,3,168 Hours: You Have More Time Than You Think,,Laura Vanderkam,"Business, Nonfiction","Penguin Group (USA), Inc.",2010
977,Digital,OverDrive,EBOOK,2018,1,1,"To Brew or Not to Brew: A Brewing Trouble Mystery Series, Book 1",,Joyce Tremel,"Fiction, Mystery","Penguin Group (USA), Inc.",2015
980,Digital,Hoopla,COMIC,2018,1,1,Jughead Vol. 1,,,"Children's, Humorous, Media Tie-In, Romance",Archie,
981,Digital,OverDrive,EBOOK,2018,1,2,"Indigo Christmas: Hilda Johansson Series, Book 6",,Jeanne Dams,"Fiction, Historical Fiction",SCB Distributors,2012
986,Digital,OverDrive,EBOOK,2018,1,3,"Flower Net: Red Princess Mystery Series, Book 1",,Lisa See,"Fiction, Mystery, Thriller","Random House, Inc.",2010
987,Digital,OverDrive,EBOOK,2018,1,2,"Agatha Raisin and the Perfect Paragon: Agatha Raisin Mystery Series, Book 16",,M. C. Beaton,"Fiction, Humor (Fiction), Mystery",Macmillan Publishers,2013
988,Digital,OverDrive,AUDIOBOOK,2018,1,2,"An Irish Country Love Story: Irish Country Series, Book 11 (unabridged) (Unabridged)",,Patrick Taylor,"Fiction, Literature",Macmillan Audio,2016
994,Digital,Freegal,SONG,2018,1,1,Some Day My Prince Will Come,,Miles Davis,,,
995,Digital,OverDrive,EBOOK,2018,1,1,Barcelona e>>guide,,Blue Island,"Nonfiction, Travel",Dorling Kindersley Limited,2006
1002,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Wild Horse Country: The History, Myth, and Future of the Mustang (unabridged) (Unabridged)",,David Philipps,"History, Nonfiction",HighBridge Company,2017
1005,Digital,OverDrive,EBOOK,2018,1,5,"Thicker Than Blood: The Twenty-Sided Sorceress, #6",,Annie Bellet,"Fantasy, Fiction","Draft2Digital, LLC",2017
1007,Digital,OverDrive,EBOOK,2018,1,1,The Chimes,,Anna Smaill,"Fantasy, Fiction, Literature","Hachette Digital, Inc.",2016
1010,Digital,OverDrive,AUDIOBOOK,2018,1,1,There Was an Old Lady Who Swallowed a Chick (Unabridged),,Lucille Colandro,"Juvenile Fiction, Poetry",Scholastic Inc. Audiobooks,2012
1014,Digital,OverDrive,EBOOK,2018,1,1,Sea Glass Island,,Sherryl Woods,"Fiction, Romance","Harlequin Enterprises, Ltd.",2013
1015,Digital,OverDrive,EBOOK,2018,1,2,"The Countess of Prague: The Countess of Prague Series, Book 1",,Stephen Weeks,"Fiction, Mystery",Poisoned Pen Press,2017
1017,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Salt, Sweat, Tears: The Men Who Rowed the Oceans (unabridged) (Unabridged)",,Adam Rackley,"History, Nonfiction, Sports & Recreations","Tantor Media, Inc",2014
1018,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Valkyries (Unabridged),,Paulo Coelho,"Fiction, Literature",HarperCollins Publishers Inc.,2013
1020,Digital,OverDrive,EBOOK,2018,1,1,"Lost Souls: New Orleans Series, Book 5",,Lisa Jackson,"Fiction, Thriller","Random House, Inc.",2009
1026,Digital,OverDrive,EBOOK,2018,1,2,1001 Low-Carb Recipes,,Dana Carpender,"Cooking & Food, Nonfiction",Quarto Publishing Group USA,2010
1027,Digital,OverDrive,EBOOK,2018,1,1,Blink Once,,Cylin Busby,"Science Fiction, Young Adult Fiction",Bloomsbury USA,2012
1031,Digital,Hoopla,MUSIC,2018,1,1,Rebel Music,,,Reggae,Universal Special Markets,
1032,Digital,OverDrive,EBOOK,2018,1,1,"Mounting Fears: Will Lee Series, Book 7",,Stuart Woods,"Fiction, Thriller","Penguin Group (USA), Inc.",2009
1034,Digital,OverDrive,EBOOK,2018,1,2,The Complete Guide to Carpentry for Homeowners: Basic Carpentry Skills & Everyday Home Repairs,,Chris Marshall,"Crafts, Home Design & Décor, Nonfiction",Quarto Publishing Group USA,2010
1035,Digital,Freegal,SONG,2018,1,1,Steps,,Chill House Music Cafe,,,
1037,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Big Oyster: History on the Half Shell (unabridged) (Unabridged),,Mark Kurlansky,"History, Nonfiction",Books on Tape,2006
1038,Digital,OverDrive,EBOOK,2018,1,3,"Elite: Hunter Series, Book 2",,Mercedes Lackey,"Science Fiction & Fantasy, Young Adult Fiction",Disney Digital Books,2017
1039,Digital,Freegal,SONG,2018,1,1,Guided Meditation for Expansion & Light,,"Ashana,Ramdesh Kaur",,,
1042,Digital,OverDrive,EBOOK,2018,1,1,"The Art of Stealing Time: Time Thief Series, Book 2",,Katie MacAlister,"Fantasy, Fiction, Romance, Thriller","Penguin Group (USA), Inc.",2013
1044,Digital,OverDrive,EBOOK,2018,1,1,As Husbands Go: A Novel,,Susan Isaacs,"Fiction, Literature, Mystery","Simon & Schuster, Inc.",2014
1051,Digital,OverDrive,EBOOK,2018,1,1,Destination Unknown,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
1054,Digital,OverDrive,EBOOK,2018,1,3,"The Care and Feeding of Stray Vampires: Half-Moon Hollow Series, Book 1",,Molly Harper,"Fantasy, Fiction, Romance","Simon & Schuster, Inc.",2014
1056,Digital,OverDrive,EBOOK,2018,1,1,Mrs. Smith's Spy School for Girls,,Beth Mcmullen,"Juvenile Fiction, Juvenile Literature, Mystery","Simon & Schuster, Inc.",2017
1059,Digital,OverDrive,EBOOK,2018,1,4,18 and Life on Skid Row,,Sebastian Bach,"Biography & Autobiography, Music, Nonfiction",HarperCollins Publishers Inc.,2016
1069,Digital,OverDrive,EBOOK,2018,1,3,Wish Come True,,Keira Andrews,"Fiction, Literature, Romance","Smashwords, Inc.",2016
1070,Digital,OverDrive,AUDIOBOOK,2018,1,11,Never Split the Difference: Negotiating as If Your Life Depended on It (unabridged) (Unabridged),,Chris Voss,"Business, Nonfiction",HarperCollins Publishers Inc.,2016
1072,Digital,OverDrive,EBOOK,2018,1,9,"Keto Slow Cooker & One-Pot Meals: Over 100 Simple & Delicious Low-Carb, Paleo and Primal Recipes for Weight Loss and Better Health",,Martina Slajerova,"Cooking & Food, Nonfiction",Quarto Publishing Group USA,2018
1073,Digital,OverDrive,EBOOK,2018,1,3,"Confessions of a Little Black Gown: Bachelor Chronicles, Book 4",,Elizabeth Boyle,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2009
1074,Digital,OverDrive,AUDIOBOOK,2018,1,1,Jacob Have I Loved (Abridged),,Katherine Paterson,"Historical Fiction, Young Adult Fiction",HarperCollins Publishers Inc.,2009
1077,Digital,OverDrive,EBOOK,2018,1,2,"Irresistible: Banning Sisters Trilogy, Book 2",,Karen Robards,"Fiction, Historical Fiction, Literature, Romance","Simon & Schuster, Inc.",2014
1078,Digital,Freegal,SONG,2018,1,1,Longfellow Serenade,,Neil Diamond,,,
1081,Digital,OverDrive,EBOOK,2018,1,2,My Favorite Countess,,Vanessa Kelly,"Fiction, Historical Fiction, Romance","Random House, Inc.",2015
1082,Digital,OverDrive,EBOOK,2018,1,1,The Practical Guide to Drawing Manga,,Peter Gray,"Art, Juvenile Nonfiction",Rosen Publishing Group,2012
1084,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Fountain of St. James Court; or, Portrait of the Artist as an Old Woman: A Novel (unabridged) (Unabridged)",,Sena Jeter Naslund,"Fiction, Historical Fiction",HarperCollins Publishers Inc.,2013
1089,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Sunless Countries: Virga Series, Book 4 (unabridged) (Unabridged)",,Karl Schroeder,"Fiction, Science Fiction",Macmillan Audio,2012
1095,Digital,OverDrive,EBOOK,2018,1,17,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",,David Brooks,"Business, Nonfiction, Self-Improvement, Sociology","Random House, Inc.",2011
1104,Digital,Hoopla,COMIC,2018,1,3,"The Walking Dead, Vol. 1: Days Gone Bye",,,"Horror, Media Tie-In",Image Comics,
1109,Digital,Hoopla,MUSIC,2018,1,1,Classics And Collectables,,,Easy Listening,Universal Strategic Marketing,
1116,Digital,Freegal,SONG,2018,1,1,On Your Side,,The Veronicas,,,
1117,Digital,OverDrive,EBOOK,2018,1,1,Avian,,Nicole Conway,"Fantasy, Young Adult Fiction",Independent Publishers Group,2017
1120,Digital,OverDrive,EBOOK,2018,1,1,The Correspondence,,J. D. Daniels,"Literary Criticism, Nonfiction",Macmillan Publishers,2017
1121,Digital,Freegal,SONG,2018,1,1,One Last Breath,,Creed,,,
1129,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Take the Key and Lock Her Up: Embassy Row Series, Book 3 (unabridged) (Unabridged)",,Ally Carter,"Thriller, Young Adult Fiction",Scholastic Inc. Audiobooks,2017
1131,Digital,OverDrive,EBOOK,2018,1,1,Baltasar and Blimunda,,José Saramago,"Fiction, Historical Fiction",Houghton Mifflin Harcourt Trade and Reference,2014
1135,Digital,OverDrive,EBOOK,2018,1,1,"Slow Fires: Mastering New Ways to Braise, Roast, and Grill",,Justin Smillie,"Cooking & Food, Nonfiction","Random House, Inc.",2015
1139,Digital,OverDrive,EBOOK,2018,1,1,The Sting of the Wild: An Evolutionary Symbiosis,,Justin O. Schmidt,"Nature, Nonfiction, Science",Johns Hopkins University Press,2016
1141,Digital,OverDrive,EBOOK,2018,1,1,"Superdate: How to Be One, How to Get One",,Tracey Cox,"Family & Relationships, Nonfiction",Dorling Kindersley Limited,2008
1145,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Hound of Death (Unabridged),,Agatha Christie,"Drama, Fiction, Mystery",Random House Group Limited,2017
1148,Digital,OverDrive,AUDIOBOOK,2018,1,1,NPR Road Trips Collection (Unabridged),,NPR,"Nonfiction, Performing Arts, Travel",HighBridge Company,2016
1150,Digital,OverDrive,EBOOK,2018,1,3,Fear in the Sunlight,,Nicola Upson,"Fiction, Literature",HarperCollins Publishers Inc.,2013
1151,Digital,OverDrive,EBOOK,2018,1,8,Made to Stick: Why Some Ideas Survive and Others Die,,Chip Heath,"Business, Nonfiction, Psychology, Self-Improvement","Random House, Inc.",2009
1155,Digital,Freegal,SONG,2018,1,1,"Variations On A Theme Of Chopin, Op. 22: Var. IX",,"Hiroshi Arimori,Sergei Rachmaninoff",,,
1159,Digital,Freegal,SONG,2018,1,2,Confetti,,Sia,,,
1160,Digital,OverDrive,EBOOK,2018,1,1,"The Lovers: Afghanistan's Romeo and Juliet, the True Story of How They Defied Their Families and Escaped an Honor Killing",,Rod Nordland,"Biography & Autobiography, History, Nonfiction",HarperCollins Publishers Inc.,2016
1162,Digital,OverDrive,AUDIOBOOK,2018,1,2,Disrupted: My Misadventure in the Start-Up Bubble (unabridged) (Unabridged),,Dan Lyons,"Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2016
1164,Digital,OverDrive,EBOOK,2018,1,2,Secret of Spandau,,Peter Lovesey,"Fiction, Suspense, Thriller",Severn House Publishers Ltd,2016
1166,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Disney Fairies Collection, Volume 6: Dulcie's Taste of Magic; Silvermist and the Ladybug Curse (unabridged) (Unabridged)",,Gail Herman,Juvenile Fiction,Books on Tape,2011
1170,Digital,Hoopla,MUSIC,2018,1,1,Engelbert Live,,,Easy Listening,Fontana South,
1172,Digital,Hoopla,TELEVISION,2018,1,1,"Parameter Passing, Scope, and Mutable Data",,,"Educational, How To",The Great Courses,
1183,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Shopaholic to the Stars: Shopaholic Series, Book 7 (unabridged) (Unabridged)",,Sophie Kinsella,"Chick Lit Fiction, Fiction, Humor (Fiction), Romance",Books on Tape,2014
1184,Digital,OverDrive,EBOOK,2018,1,2,An Irresistible Bachelor,,J.R. Ward,"Fiction, Romance","Penguin Group (USA), Inc.",2013
1186,Digital,OverDrive,EBOOK,2018,1,1,The Complete Fabric Artist's Workshop: Exploring Techniques and Materials for Creating Fashion and Decor Items from Artfully Altered Fabric,,Susan Stein,"Crafts, Nonfiction",Quarto Publishing Group USA,2011
1188,Digital,OverDrive,EBOOK,2018,1,1,Tweak: Growing Up on Methamphetamines,,Nic Sheff,"Biography & Autobiography, Health & Fitness, Young Adult Nonfiction","Simon & Schuster, Inc.",2014
1189,Digital,Freegal,SONG,2018,1,1,I'm Your Man,,Leonard Cohen,,,
1191,Digital,Hoopla,MUSIC,2018,1,1,Sofa - Single,,,R&B/Soul,Amoeba Culture,
1200,Digital,OverDrive,EBOOK,2018,1,3,"The Emotional Life of Your Brain: How Its Unique Patterns Affect the Way You Think, Feel, and Live—and How You Can Change Them",,Richard J. Davidson,"Nonfiction, Psychology","Penguin Group (USA), Inc.",2013
1202,Digital,OverDrive,EBOOK,2018,1,1,The Great Santini,,Pat Conroy,"Fiction, Literature",Open Road Integrated Media,2010
1210,Digital,OverDrive,EBOOK,2018,1,1,"Fins of Fury: My Big Fat Zombie Goldfish Series, Book 3",,Mo O'Hara,"Humor (Fiction), Juvenile Fiction",Macmillan Publishers,2015
1211,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Knit Two: The Friday Night Knitting Club Series, Book 2 (unabridged) (Unabridged)",,Kate Jacobs,"Fiction, Romance","Blackstone Audio, Inc.",2009
1214,Digital,OverDrive,EBOOK,2018,1,1,Thinking in New Boxes: A New Paradigm for Business Creativity,,Luc De Brabandere,"Business, Nonfiction, Psychology, Self-Improvement","Random House, Inc.",2013
1215,Digital,OverDrive,EBOOK,2018,1,3,"The Duke's Guide to Correct Behavior: Dukes Behaving Badly Series, Book 1",,Megan Frampton,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2014
1216,Digital,OverDrive,EBOOK,2018,1,1,The Last Surgeon,,Michael Palmer,"Fiction, Thriller",Macmillan Publishers,2013
1218,Digital,OverDrive,EBOOK,2018,1,1,The Names of the Stars: A Life in the Wilds,,Pete Fromm,"Biography & Autobiography, Nature, Nonfiction",Macmillan Publishers,2016
1221,Digital,Freegal,SONG,2018,1,1,Comin' Back to Me,,Jefferson Airplane,,,
1224,Digital,OverDrive,EBOOK,2018,1,3,"The 14th Colony: Cotton Malone Series, Book 11",,Steve Berry,"Fiction, Historical Fiction, Thriller",Macmillan Publishers,2016
1226,Digital,OverDrive,EBOOK,2018,1,1,Empire of Imagination: Gary Gygax and the Birth of Dungeons & Dragons,,Michael Witwer,"Biography & Autobiography, Nonfiction",Bloomsbury USA,2015
1227,Digital,OverDrive,AUDIOBOOK,2018,1,11,As You Wish: Inconceivable Tales from the Making of The Princess Bride (unabridged) (Unabridged),,Cary Elwes,"Biography & Autobiography, Nonfiction, Performing Arts",Simon & Schuster - All Library,2015
1229,Digital,OverDrive,EBOOK,2018,1,1,Dear Girls Above Me: Inspired by a True Story,,Charles McDowell,"Biography & Autobiography, Family & Relationships, Humor (Nonfiction), Nonfiction","Random House, Inc.",2013
1234,Digital,OverDrive,EBOOK,2018,1,1,I Take You: A Novel,,Eliza Kennedy,"Fiction, Humor (Fiction)","Random House, Inc.",2015
1237,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Cyador's Heirs: Saga of Recluce, Book 17 (unabridged) (Unabridged)",,"L. E. Modesitt, Jr.","Fantasy, Fiction","Tantor Media, Inc",2017
1239,Digital,OverDrive,EBOOK,2018,1,1,Is There a Nutmeg in the House?,,Elizabeth David,"Cooking & Food, Nonfiction",ePenguin,2009
1241,Digital,Freegal,SONG,2018,1,1,Boys In the Band,,Mountain,,,
1242,Digital,Hoopla,MOVIE,2018,1,1,Elsewhere,,,"Drama, Psychological Thrillers, Romance, Romantic, Suspense / Thriller",Momentum,
1250,Digital,Hoopla,COMIC,2018,1,2,Astro City: Private Lives,,,"Action & Adventure, Superhero, Teen",DC Comics,
1252,Digital,OverDrive,AUDIOBOOK,2018,1,1,Forbes Greatest Investing Stories (Unabridged),,Richard Phalon,"Business, Nonfiction","Blackstone Audio, Inc.",2005
1258,Digital,OverDrive,EBOOK,2018,1,1,"True-Blue Cowboy Christmas: Big Sky Cowboys Series, Book 3",,Nicole Helm,"Fiction, Romance, Western",Sourcebooks,2016
1267,Digital,OverDrive,EBOOK,2018,1,1,Housebroken: Admissions of an Untidy Life,,Laurie Notaro,"Biography & Autobiography, Essays, Humor (Nonfiction), Nonfiction","Random House, Inc.",2016
1270,Digital,Freegal,SONG,2018,1,1,Rosamunde Overture,,George Szell;The Cleveland Orchestra,,,
1271,Digital,Hoopla,MOVIE,2018,1,3,The Girl on the Train,,,"Classics, Film Noir, Psychological Thrillers, Suspense / Thriller",Monterey,
1273,Digital,OverDrive,EBOOK,2018,1,1,"The Guide to West Coast Cheese: More than 300 Cheeses Handcrafted in California, Oregon, and Washington",,Sasha Davies,"Cooking & Food, Nonfiction",Workman Publishing,2011
1274,Digital,OverDrive,EBOOK,2018,1,2,The Great Degeneration: How Institutions Decay and Economies Die,,Niall Ferguson,"Business, History, Nonfiction, Politics","Penguin Group (USA), Inc.",2013
1279,Digital,OverDrive,EBOOK,2018,1,2,Transcendent: The Year's Best Transgender Speculative Fiction,,K.M. Szpara,"Fantasy, Fiction, Science Fiction","Smashwords, Inc.",2017
1283,Digital,OverDrive,EBOOK,2018,1,1,"Death Perception: Psychic Eye Mystery Series, Book 6",,Victoria Laurie,"Fiction, Mystery","Penguin Group (USA), Inc.",2011
1289,Digital,OverDrive,EBOOK,2018,1,1,Invasion of the Body Snatchers,,Jack Finney,"Fiction, Science Fiction, Thriller","Simon & Schuster, Inc.",2014
1291,Digital,Freegal,SONG,2018,1,1,Be My Love,,Lou Donaldson,,,
1292,Digital,OverDrive,EBOOK,2018,1,13,One Station Away,,Olaf Olafsson,"Fiction, Literature",HarperCollins Publishers Inc.,2017
1293,Digital,OverDrive,AUDIOBOOK,2018,1,1,Wolfgang Amadeus Mozart (Unabridged),,Jeremy Siepmann,"Biography & Autobiography, Music, Nonfiction","Naxos of America, Inc.",2006
1296,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Happiest Days of Our Lives (Unabridged),,Wil Wheaton,"Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2014
1297,Digital,OverDrive,EBOOK,2018,1,1,Between Heaven and Here,,Susan Straight,"African American Fiction, Fiction, Literature",Lightning Source Inc,2013
1298,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Anne of Green Gables: Anne of Green Gables Series, Book 1 (unabridged) (Unabridged)",,L. M.  Montgomery,"Classic Literature, Juvenile Fiction","Blackstone Audio, Inc.",2005
1300,Digital,OverDrive,EBOOK,2018,1,2,Midnight,,Dean Koontz,"Fiction, Suspense","Penguin Group (USA), Inc.",2014
1301,Digital,Freegal,SONG,2018,1,1,Walzer,,Jan-Olaf Rodt Quartet,,,
1302,Digital,Hoopla,MOVIE,2018,1,2,Discover the Gift,,,Faith & Inspiration,Gaiam TV,
1305,Digital,OverDrive,EBOOK,2018,1,1,Stealing Home,,Sherryl Woods,"Fiction, Romance","Harlequin Enterprises, Ltd.",2010
1307,Digital,OverDrive,EBOOK,2018,1,18,"The Story of a New Name: Neapolitan Series, Book 2",,Elena Ferrante,"Fiction, Historical Fiction, Literature","Penguin Group (USA), Inc.",2013
1309,Digital,OverDrive,EBOOK,2018,1,2,"Group f.64: Edward Weston, Ansel Adams, Imogen Cunningham, and the Community of Artists Who Revolutionized American Photography",,Mary Street Alinder,"Nonfiction, Photography",Bloomsbury USA,2014
1312,Digital,OverDrive,EBOOK,2018,1,3,"The Quest for the Diamond Sword: An Unofficial Gamers Adventure, Book One",,Winter Morgan,"Juvenile Fiction, Thriller",Lightning Source Inc,2015
1318,Digital,OverDrive,EBOOK,2018,1,1,"Richard Brautigan's Trout Fishing in America, The Pill Versus the Springhill Mine Disaster, and In Watermelon Sugar",,Richard Brautigan,"Fiction, Literature",Houghton Mifflin Harcourt Trade and Reference,2013
1319,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Sunrise Lands: Emberverse: The Change Series, Book 1 (unabridged) (Unabridged)",,S. M. Stirling,"Fiction, Science Fiction","Tantor Media, Inc",2009
1320,Digital,OverDrive,EBOOK,2018,1,2,The Berenstain Bears and the Excuse Note,,Stan Berenstain,"Juvenile Fiction, Picture Book Fiction","Random House, Inc.",2013
1321,Digital,Hoopla,COMIC,2018,1,1,Blackest Night,,,"Action & Adventure, Superhero",DC Comics,
